DISTRICT,INVAGE,ROAD_CLASS,VISIBILITY,ACCLASS,TIME_OF_DAY,VEHTYPE
Scar,Adult,Collector,Rain,Non-Fatal,Morning,"Automobile, Station Wagon"
Scar,Adult,Collector,Rain,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Rain,Non-Fatal,Morning,Motorcycle
Tor & E York,Youth,Arterial,Rain,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,Senior,Arterial,Rain,Non-Fatal,Afternoon,Other
Tor & E York,Senior,Arterial,Rain,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Eto York,NK,NA,Clear,Fatal,Night,Other
Eto York,Adoloscent,Arterial,Rain,Non-Fatal,Evening,"Automobile, Station Wagon"
Eto York,Adult,Arterial,Rain,Non-Fatal,Evening,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Afternoon,Other
Tor & E York,NK,Collector,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Tor & E York,Adult,Collector,Clear,Non-Fatal,Evening,Other
Scar,NK,Arterial,Clear,Non-Fatal,Night,Other
Eto York,NK,Arterial,Clear,Non-Fatal,Morning,Other
Eto York,Youth,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Eto York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Eto York,Youth,Arterial,Clear,Non-Fatal,Morning,Other
Eto York,NK,Arterial,Clear,Non-Fatal,Morning,Other
N York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,NK,Arterial,Other,Non-Fatal,Evening,Other
N York,Adoloscent,Arterial,Clear,Non-Fatal,Morning,Other
N York,Senior,Local,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
N York,Senior,Local,Clear,Non-Fatal,Afternoon,Bicycle
N York,Adult,Local,Rain,Fatal,Evening,"Automobile, Station Wagon"
N York,Child,Local,Rain,Fatal,Evening,Other
Tor & E York,Senior,Collector,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,Adult,Collector,Clear,Non-Fatal,Morning,Other
Tor & E York,Youth,Collector,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,NK,Collector,Clear,Non-Fatal,Morning,Other
Tor & E York,Adoloscent,Arterial,Rain,Non-Fatal,Night,Other
Tor & E York,Youth,Arterial,Rain,Non-Fatal,Night,Other
Tor & E York,NK,Arterial,Rain,Non-Fatal,Night,Other
Tor & E York,Youth,Arterial,Rain,Non-Fatal,Night,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Rain,Non-Fatal,Night,Other
Eto York,Adult,Arterial,Rain,Non-Fatal,Morning,"Automobile, Station Wagon"
Eto York,NK,Arterial,Rain,Non-Fatal,Morning,Other
Eto York,Adoloscent,Arterial,Rain,Non-Fatal,Morning,"Automobile, Station Wagon"
Eto York,Adult,Arterial,Rain,Non-Fatal,Morning,"Automobile, Station Wagon"
N York,Adult,Arterial,Clear,Fatal,Evening,"Automobile, Station Wagon"
Scar,Adoloscent,Collector,Clear,Fatal,Morning,Other
N York,Adult,Arterial,Clear,Fatal,Evening,Other
Eto York,Adult,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Eto York,Youth,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Tor & E York,NK,Arterial,Clear,Non-Fatal,Evening,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
Tor & E York,Youth,Arterial,Clear,Non-Fatal,Evening,Bicycle
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Night,Other
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Night,Bicycle
Tor & E York,Adult,Arterial,Clear,Non-Fatal,Night,Bicycle
Eto York,Adoloscent,Collector,Clear,Non-Fatal,Night,Other
Eto York,Youth,Collector,Clear,Non-Fatal,Night,Other
Eto York,NK,Collector,Clear,Non-Fatal,Night,Other
Eto York,NK,Collector,Clear,Non-Fatal,Night,Other
Eto York,Youth,Collector,Clear,Non-Fatal,Night,"Automobile, Station Wagon"
Scar,Youth,Arterial,Clear,Non-Fatal,Morning,Other
Scar,Youth,Arterial,Clear,Non-Fatal,Morning,Other
Scar,NK,Arterial,Clear,Non-Fatal,Morning,Other
Scar,Youth,Arterial,Clear,Non-Fatal,Morning,"Automobile, Station Wagon"
Scar,NK,Arterial,Clear,Non-Fatal,Morning,Other
Eto York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Eto York,NK,Arterial,Clear,Non-Fatal,Afternoon,Other
Eto York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Eto York,NK,Arterial,Clear,Non-Fatal,Afternoon,Other
Eto York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
Eto York,Adult,Arterial,Clear,Non-Fatal,Afternoon,"Automobile, Station Wagon"
N York,NK,Arterial,Clear,Non-Fatal,Evening,Other
N York,NK,Arterial,Clear,Non-Fatal,Evening,Other
N York,Adult,Arterial,Clear,Non-Fatal,Evening,"Automobile, Station Wagon"
N York,NK,Arterial,Clear,Non-Fatal,Evening,Other
N York,Youth,Arterial,Clear,Non-Fatal,Evening,Other
Tor & E York,Youth,Arterial,Clear,Fatal,Night,Motorcycle
Scar,Adoloscent,Arterial,Clear,Non-Fatal,Afternoon,Other
